dataset,query_id,family,parameter,w1,w2,w3,w4,w5,c1,c2,c3,c4,c5
BAY,0008,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,574041,1435113,374,679,120
BAY,0008,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,574041,1435113,374,679,120
BAY,0009,time_share,0.0,0.25,0.0,0.25,0.25,0.25,2666111,5180267,3387,3574,659
BAY,0009,time_share,0.1,0.225,0.1,0.225,0.225,0.225,2666111,5180267,3387,3574,659
BAY,0009,time_share,0.2,0.2,0.2,0.2,0.2,0.2,2359104,3332604,3527,3848,745
BAY,0009,time_share,0.3,0.175,0.3,0.175,0.175,0.175,2359104,3332604,3527,3848,745
BAY,0009,time_share,0.4,0.15,0.4,0.15,0.15,0.15,2359104,3332604,3527,3848,745
BAY,0009,time_share,0.5,0.125,0.5,0.125,0.125,0.125,2270845,2797378,4051,4020,805
BAY,0009,time_share,0.6,0.1,0.6,0.1,0.1,0.1,2270845,2797378,4051,4020,805
BAY,0009,time_share,0.7,0.075,0.7,0.075,0.075,0.075,2270845,2797378,4051,4020,805
BAY,0009,time_share,0.8,0.05,0.8,0.05,0.05,0.05,2282393,2784663,3859,4138,814
BAY,0009,time_share,0.9,0.025,0.9,0.025,0.025,0.025,2306277,2728933,4221,4274,833
BAY,0009,time_share,1.0,0.0,1.0,0.0,0.0,0.0,2306170,2728818,4237,4314,840
BAY,0009,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,2359104,3332604,3527,3848,745
BAY,0009,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,2359104,3332604,3527,3848,745
BAY,0009,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,2359104,3332604,3527,3848,745
BAY,0009,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,2359104,3332604,3527,3848,745
BAY,0009,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,2359104,3332604,3527,3848,745
BAY,0009,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,2359104,3332604,3527,3848,745
BAY,0009,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,2666111,5180267,3387,3574,659
BAY,0009,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,2666111,5180267,3387,3574,659
BAY,0009,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,2666111,5180267,3387,3574,659
BAY,0009,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,2666111,5180267,3387,3574,659
BAY,0009,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,2666111,5180267,3387,3574,659
BAY,0010,time_share,0.0,0.25,0.0,0.25,0.25,0.25,1079580,1492876,1390,2437,448
BAY,0010,time_share,0.1,0.225,0.1,0.225,0.225,0.225,1079580,1492876,1390,2437,448
BAY,0010,time_share,0.2,0.2,0.2,0.2,0.2,0.2,1046405,1316376,1350,2523,459
BAY,0010,time_share,0.3,0.175,0.3,0.175,0.175,0.175,1046405,1316376,1350,2523,459
BAY,0010,time_share,0.4,0.15,0.4,0.15,0.15,0.15,1046405,1316376,1350,2523,459
BAY,0010,time_share,0.5,0.125,0.5,0.125,0.125,0.125,1046405,1316376,1350,2523,459
BAY,0010,time_share,0.6,0.1,0.6,0.1,0.1,0.1,1041994,1162427,1474,2741,493
BAY,0010,time_share,0.7,0.075,0.7,0.075,0.075,0.075,1043812,1154774,1490,2747,497
BAY,0010,time_share,0.8,0.05,0.8,0.05,0.05,0.05,1043932,1154256,1496,2749,497
BAY,0010,time_share,0.9,0.025,0.9,0.025,0.025,0.025,1043932,1154256,1496,2749,497
BAY,0010,time_share,1.0,0.0,1.0,0.0,0.0,0.0,1043932,1154256,1496,2749,497
BAY,0010,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,1046405,1316376,1350,2523,459
BAY,0010,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,1046405,1316376,1350,2523,459
BAY,0010,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,1046405,1316376,1350,2523,459
BAY,0010,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,1046405,1316376,1350,2523,459
BAY,0010,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,1046405,1316376,1350,2523,459
BAY,0010,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,1046405,1316376,1350,2523,459
BAY,0010,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,1079580,1492876,1390,2437,448
BAY,0010,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,1079580,1492876,1390,2437,448
BAY,0010,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,1079580,1492876,1390,2437,448
BAY,0010,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,1079580,1492876,1390,2437,448
BAY,0010,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,1079580,1492876,1390,2437,448
BAY,0011,time_share,0.0,0.25,0.0,0.25,0.25,0.25,839172,2021534,1833,1074,205
BAY,0011,time_share,0.1,0.225,0.1,0.225,0.225,0.225,839172,2021534,1833,1074,205
BAY,0011,time_share,0.2,0.2,0.2,0.2,0.2,0.2,839172,2021534,1833,1074,205
BAY,0011,time_share,0.3,0.175,0.3,0.175,0.175,0.175,847489,1240110,991,1676,329
BAY,0011,time_share,0.4,0.15,0.4,0.15,0.15,0.15,852691,1185791,1043,1706,336
BAY,0011,time_share,0.5,0.125,0.5,0.125,0.125,0.125,852691,1185791,1043,1706,336
BAY,0011,time_share,0.6,0.1,0.6,0.1,0.1,0.1,853019,1182559,1043,1714,337
BAY,0011,time_share,0.7,0.075,0.7,0.075,0.075,0.075,853019,1182559,1043,1714,337
BAY,0011,time_share,0.8,0.05,0.8,0.05,0.05,0.05,853019,1182559,1043,1714,337
BAY,0011,time_share,0.9,0.025,0.9,0.025,0.025,0.025,853019,1182559,1043,1714,337
BAY,0011,time_share,1.0,0.0,1.0,0.0,0.0,0.0,853019,1182559,1043,1714,337
BAY,0011,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,839172,2021534,1833,1074,205
BAY,0011,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,839172,2021534,1833,1074,205
BAY,0011,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,839172,2021534,1833,1074,205
BAY,0011,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,839172,2021534,1833,1074,205
BAY,0011,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,839172,2021534,1833,1074,205
BAY,0011,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,892380,1718462,963,1432,263
BAY,0011,stability_share,0.6,0.1,0.15,0.35,0.25,0.15,892380,1718462,963,1432,263
BAY,0011,stability_share,0.7,0.075,0.1125,0.4083333333333333,0.2916666666666667,0.1125,892380,1718462,963,1432,263
BAY,0011,stability_share,0.8,0.05,0.075,0.4666666666666667,0.3333333333333333,0.075,886026,1965981,887,1440,258
BAY,0011,stability_share,0.9,0.025,0.0375,0.525,0.375,0.0375,886026,1965981,887,1440,258
BAY,0011,stability_share,1.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,886026,1965981,887,1440,258
BAY,0012,time_share,0.0,0.25,0.0,0.25,0.25,0.25,2738731,6281812,3596,2629,470
BAY,0012,time_share,0.1,0.225,0.1,0.225,0.225,0.225,2310188,3905073,2616,3463,660
BAY,0012,time_share,0.2,0.2,0.2,0.2,0.2,0.2,2310188,3905073,2616,3463,660
BAY,0012,time_share,0.3,0.175,0.3,0.175,0.175,0.175,2310188,3905073,2616,3463,660
BAY,0012,time_share,0.4,0.15,0.4,0.15,0.15,0.15,2317678,2406857,2964,4091,819
BAY,0012,time_share,0.5,0.125,0.5,0.125,0.125,0.125,2317678,2406857,2964,4091,819
BAY,0012,time_share,0.6,0.1,0.6,0.1,0.1,0.1,2317678,2406857,2964,4091,819
BAY,0012,time_share,0.7,0.075,0.7,0.075,0.075,0.075,2308060,2382566,3096,4105,823
BAY,0012,time_share,0.8,0.05,0.8,0.05,0.05,0.05,2308060,2382566,3096,4105,823
BAY,0012,time_share,0.9,0.025,0.9,0.025,0.025,0.025,2308060,2382566,3096,4105,823
BAY,0012,time_share,1.0,0.0,1.0,0.0,0.0,0.0,2308060,2382566,3096,4105,823
BAY,0012,stability_share,0.0,0.25,0.375,0.0,0.0,0.375,2160118,3783524,2808,3861,703
BAY,0012,stability_share,0.1,0.225,0.3375,0.058333333333333334,0.041666666666666664,0.3375,2160118,3783524,2808,3861,703
BAY,0012,stability_share,0.2,0.2,0.3,0.11666666666666667,0.08333333333333333,0.3,2310188,3905073,2616,3463,660
BAY,0012,stability_share,0.3,0.175,0.2625,0.175,0.125,0.2625,2310188,3905073,2616,3463,660
BAY,0012,stability_share,0.4,0.15,0.225,0.23333333333333334,0.16666666666666666,0.225,2310188,3905073,2616,3463,660
BAY,0012,stability_share,0.5,0.125,0.1875,0.2916666666666667,0.20833333333333334,0.1875,2310188,3905073,2616,3463,660
